#Input these with variable/no real thought as a proof of concept - randomly at times

GeomorphLines
Symbol		|Type	    			|LocationConfidenceMeters	|ExistenceConfidence|IdentityConfidence	|IsConcealed
04.01.01	|lineation				|20							|questionable			|certain			|N

ContactsAndFaults					
Symbol		|Type	    						|LocationConfidenceMeters	|ExistenceConfidence|IdentityConfidence	|IsConcealed
#Contacts
01.01.01	|contact							|8	                    	|certain	        |certain	        |N
01.01.02	|contact   							|8	                        |questionable       |questionable    	|N
01.01.03	|contact   							|16                         |certain            |certain            |N
01.01.04	|contact   							|16						    |questionable      	|questionable		|N
01.01.05	|contact   							|32                         |certain     		|certain            |N
#questionable with inferred location (below) implies higher uncertainty
01.01.06	|contact   							|32                        	|questionable     	|questionable       |N
01.01.07	|contact   							|16                         |certain     		|certain       		|Y
01.01.08	|contact   							|32							|questionable     	|questionable       |Y
#Internal Contacts
01.01.09	|contact, internal					|8                   	    |certain          	|certain       		|N
01.01.11	|contact, internal					|16                  		|questionable       |questionable       |N
01.01.12	|contact, internal					|16							|certain			|certain 			|N
#Incised scarps
01.01.33	|contact, incised-scarp 			|8							|certain	        |certain	        |N
01.01.34	|contact, incised-scarp				|8							|questionable		|questionable 		|N
#Dikes -added 20191122
01.03.01	|dike								|8							|certain          	|certain       		|N
#fluvial terrace scarp
12.01		|fluvial terrace scarp				|8							|certain			|certain 			|N
12.02		|fluvial terrace scarp				|8							|questionable		|questionable 		|N
12.03		|fluvial terrace scarp				|16							|certain			|certain 			|N
12.04		|fluvial terrace scarp				|16							|questionable		|questionable 		|N
#Gradational contacts
#These are somewhat wide by definition
01.01.17	|contact, gradational				|36						    |certain			|certain			|N
01.01.19	|contact, gradational				|50						    |certain			|certain 			|N
01.01.20	|contact, gradational				|50 						|questionable		|questionable 		|N
01.01.21	|contact, gradational				|50	   					    |certain			|certain 			|N
#Fault
02.01.01	|fault								|8							|certain			|certain 			|N
02.01.02	|fault								|8							|questionable	  	|questionable       |N
02.01.03	|fault								|16							|certain		    |certain 			|N
02.01.04	|fault								|16							|questionable	  	|questionable       		|N
#added (below) 20191122
02.01.05	|fault								|32							|certain			|certain 			|Y
02.01.07	|fault								|16							|certain			|certain 			|Y
02.01.08	|fault								|16							|questionable		|questionable 		|Y
#Fault normal
02.02.01	|fault, normal						|8							|certain			|certain 			|N
02.02.02	|fault, normal						|8							|certain			|certain 			|N
02.02.03	|fault, normal						|16							|certain			|certain 			|N
02.02.04	|fault, normal						|16							|certain			|certain 			|N
02.02.07	|fault, normal						|16							|certain			|certain 			|Y
02.02.08	|fault, normal						|16							|questionable		|questionable 		|Y
#Fault low-angle normal
02.02.09	|fault, normal low-angle			|8							|certain			|certain 			|N
02.02.15	|fault, normal low-angle			|16							|certain			|certain 			|Y
02.02.16	|fault, normal low-angle			|16							|questionable		|questionable 		|Y
#Fault strike-slip
02.06.09	|fault, left-lateral strike slip	|8							|certain			|certain 			|N
#added (below) 20191122
02.06.11	|fault, left-lateral strike slip	|16							|certain			|certain 			|N
02.06.12	|fault, left-lateral strike slip	|16							|questionable		|questionable 		|N
02.06.15	|fault, left-lateral strike slip	|16							|certain			|certain 			|Y
02.06.16	|fault, left-lateral strike slip	|32							|questionable		|questionable 		|Y
#Fault oblique
02.07.01	|fault, right-lateral oblique slip	|8							|certain			|certain 			|N
02.07.07	|fault, right-lateral oblique slip	|16							|certain			|certain 			|Y
02.07.08	|fault, right-lateral oblique slip	|16							|questionable		|questionable 		|Y
#Fault thrust -added 20191122
02.08.01	|fault, thrust						|8							|certain			|certain 			|N
02.08.03	|fault, thrust						|16							|certain			|certain 			|N
#Fault detachment
02.10.01	|fault, detachment					|8							|certain			|certain 			|N
02.10.03	|fault, detachment					|16							|certain			|certain 			|N
02.10.07	|fault, detachment					|32							|certain			|certain 			|Y
#Fault inclined
02.11.09	|fault, inclined					|8							|certain			|certain 			|N
#Other
01.02.01	|key bed							|8							|certain			|certain			|N
30.02.29	|shoreline							|8							|certain			|certain			|N
30.02.30	|shoreline, indefinite				|16							|certain			|certain			|N
31.08		|map neatline						|0.0						|certain			|certain			|N
31.31		|scratch boundary					|0.0						|certain			|certain			|N
04.01.01	|lineation							|16							|questionable		|certain			|N

#Try and duplicate all symbols in Contacts and Faults and all the CS(A,B,C)ContactsAndFaults
#Doubled locationconfidencemeters since it is so much more uncertain in the subsurface
CSAContactsAndFaults					
Symbol		|Type	    						|LocationConfidenceMeters	|ExistenceConfidence|IdentityConfidence	|IsConcealed
#Contacts
Topo Profile	|contact						|16	                   		|certain	        |certain	        |N
01.01.01	|contact							|16	                    	|certain	        |certain	        |Y
01.01.02	|contact   							|16                       	|questionable      	|questionable       |Y
01.01.03	|contact   							|64                       	|certain            |certain            |Y
01.01.04	|contact   							|64							|questionable      	|questionable		|Y
01.01.05	|contact   							|64                       	|certain     		|certain            |Y
01.01.06	|contact   							|64                       	|questionable     	|questionable       |Y
01.01.07	|contact   							|32                      	|certain     		|certain       		|Y
01.01.08	|contact   							|32							|questionable     	|questionable       |Y
#Internal Contacts
01.01.09	|contact, internal					|16                   		|certain          	|certain       		|Y
01.01.11	|contact, internal					|32                  		|certain          	|certain       		|Y
01.01.12	|contact, internal					|32							|certain			|certain 			|Y
#Incised scarps
01.01.33	|contact, incised-scarp 			|16							|certain	        |certain	        |Y
01.01.34	|contact, incised-scarp				|16							|certain			|certain 			|Y
#fluvial terrace scarp
12.01		|fluvial terrace scarp						|16							|certain			|certain 			|Y
12.02		|fluvial terrace scarp						|16							|certain			|certain 			|Y
12.03		|fluvial terrace scarp						|32							|certain			|certain 			|Y
12.04		|fluvial terrace scarp						|32							|certain			|certain 			|Y
#Gradational contacts
01.01.17	|contact, gradational				|64							|certain			|certain			|Y
01.01.19	|contact, gradational				|100						|certain			|certain 			|Y
01.01.20	|contact, gradational				|100						|questionable		|questionable 		|Y
01.01.21	|contact, gradational				|100						|certain			|certain 			|Y
#Fault
02.01.01	|fault								|16							|certain			|certain 			|Y
02.01.02	|fault								|16							|questionable	  	|questionable       |Y
02.01.03	|fault								|32							|certain		    |certain 			|Y
02.01.04	|fault								|32							|certain	  		|certain       		|Y
02.01.07	|fault								|32							|certain			|certain 			|Y
02.01.08	|fault								|64							|questionable		|questionable 		|Y
#Fault normal
02.02.01	|fault, normal						|16							|certain			|certain 			|Y
02.02.02	|fault, normal						|16							|certain			|certain 			|Y
02.02.03	|fault, normal						|32							|certain			|certain 			|Y
02.02.04	|fault, normal						|32							|certain			|certain 			|Y
02.02.07	|fault, normal						|32							|certain			|certain 			|Y
02.02.08	|fault, normal						|32							|questionable		|questionable 		|Y
#Fault low-angle normal
02.02.09	|fault, normal low-angle			|16							|certain			|certain 			|Y
02.02.15	|fault, normal low-angle			|32							|certain			|certain 			|Y
02.02.16	|fault, normal low-angle			|32							|questionable		|questionable 		|Y
#Fault strike-slip
02.06.09	|fault, left-lateral strike slip	|16							|certain			|certain 			|Y
02.06.12	|fault, left-lateral strike slip	|32							|questionable		|questionable 		|Y
02.06.15	|fault, left-lateral strike slip	|32							|certain			|certain 			|Y
02.06.16	|fault, left-lateral strike slip	|64							|questionable		|questionable 		|Y
#Fault oblique
02.07.01	|fault, right-lateral oblique slip	|16							|certain			|certain 			|Y
02.07.07	|fault, right-lateral oblique slip	|32							|certain			|certain 			|Y
02.07.08	|fault, right-lateral oblique slip	|32							|questionable		|questionable 		|Y
#Fault detachment
02.10.01	|fault, detachment					|16							|certain			|certain 			|Y
02.10.03	|fault, detachment					|32							|certain			|certain 			|Y
02.10.07	|fault, detachment					|64							|certain			|certain 			|Y
#Fault inclined
02.11.09	|fault, inclined					|16							|certain			|certain 			|Y
#Other
01.02.01	|key bed							|16							|certain			|certain			|Y
30.02.29	|shoreline							|16							|certain			|certain			|Y
30.02.30	|shoreline, indefinite				|32							|certain			|certain			|Y
31.08		|map neatline						|0.0						|certain			|certain			|Y
31.31		|scratch boundary					|0.0							|certain			|certain			|Y
04.01.01	|lineation							|32							|certain			|certain			|Y

CSBContactsAndFaults					
Symbol		|Type	    						|LocationConfidenceMeters	|ExistenceConfidence|IdentityConfidence	|IsConcealed
#Contacts
Topo Profile	|contact						|16	                   		|certain	        |certain	        |N
01.01.01	|contact							|16	                    	|certain	        |certain	        |Y
01.01.02	|contact   							|16                       	|questionable      	|questionable       |Y
01.01.03	|contact   							|64                       	|certain            |certain            |Y
01.01.04	|contact   							|64							|questionable      	|questionable		|Y
01.01.05	|contact   							|64                       	|certain     		|certain            |Y
01.01.06	|contact   							|64                       	|questionable     	|questionable       |Y
01.01.07	|contact   							|32                      	|certain     		|certain       		|Y
01.01.08	|contact   							|32							|questionable     	|questionable       |Y
#Internal Contacts
01.01.09	|contact, internal					|16                   		|certain          	|certain       		|Y
01.01.11	|contact, internal					|32                  		|certain          	|certain       		|Y
01.01.12	|contact, internal					|32							|certain			|certain 			|Y
#Incised scarps
01.01.33	|contact, incised-scarp 			|16							|certain	        |certain	        |Y
01.01.34	|contact, incised-scarp				|16							|certain			|certain 			|Y
#fluvial terrace scarp
12.01		|fluvial terrace scarp						|16							|certain			|certain 			|Y
12.02		|fluvial terrace scarp						|16							|certain			|certain 			|Y
12.03		|fluvial terrace scarp						|32							|certain			|certain 			|Y
